period,threshold,book,CAGR,vol,Sharpe,Sortino,maxDD,Calmar,Total Ret,Final X
DEV 2006-2022 · H=40,top 1%,pure long,0.15743605373117164,0.3358988224055898,0.49183143736367657,0.7098915655280403,-0.6270391969000269,0.2510784884095097,10.6801133676463,11.6801133676463
DEV 2006-2022 · H=40,top 1%,80/20 hedge,0.13902966466409228,0.2306902389737097,0.5171724275005934,0.7557431961947113,-0.5028385921549834,0.2764896466443868,7.9153871343538675,8.915387134353868
DEV 2006-2022 · H=40,top 1%,continuous,0.13581976861945066,0.3376501968600321,0.4355508650155651,0.6258711278854134,-0.691655419063154,0.19636912380939384,7.821573465483876,8.821573465483876
DEV 2006-2022 · H=40,—,SPY,0.08839160212457697,0.2007178388721906,0.3361094820359012,0.46830546748918594,-0.5520185564591105,0.16012433113038724,3.22715664971665,4.22715664971665
HOLDOUT 2023-2026 · H=40,top 1%,pure long,0.37197273227516137,0.2734967345429424,1.161892838900971,1.6907329445922203,-0.2645023195905024,1.4063117966263685,2.023538772506408,3.023538772506408
HOLDOUT 2023-2026 · H=40,top 1%,80/20 hedge,0.20475929955693895,0.17377796070475007,0.9481936079064592,1.3923117663645204,-0.16724808693220172,1.2242848531950226,0.9374854634129921,1.937485463412992
HOLDOUT 2023-2026 · H=40,top 1%,continuous,0.28378579434249085,0.29781019530673053,0.8659858138723248,1.244632367468934,-0.26111847279887945,1.086808571223034,1.462263056804583,2.462263056804583
HOLDOUT 2023-2026 · H=40,—,SPY,0.22054783991427906,0.15118423198789877,1.1517543451049839,1.709578649164993,-0.1875538268282032,1.1759175680072789,1.0595054628463028,2.0595054628463028
